CID,Smiles,Density,Temp
4,CC(CN)O,0.961,20
4,CC(CN)O,0.9611,20
4,CC(CN)O,0.96,
4,CC(CN)O,0.973,
4,CC(CN)O,0.961,
6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,1.7,
11,C(CCl)Cl,1.253,20
11,C(CCl)Cl,1.2454,25
11,C(CCl)Cl,1.24,
11,C(CCl)Cl,1.24,
13,C1=CC(=C(C=C1Cl)Cl)Cl,1.454,20
13,C1=CC(=C(C=C1Cl)Cl)Cl,1.45,
13,C1=CC(=C(C=C1Cl)Cl)Cl,1.45,
33,C(C=O)Cl,1.19,25
33,C(C=O)Cl,1.19,25
33,C(C=O)Cl,1.19,
33,C(C=O)Cl,1.19,
34,C(CCl)O,1.197,
34,C(CCl)O,1.197,20
34,C(CCl)O,1.2,
34,C(CCl)O,1.2,
49,CC(C)C(=O)C(=O)O,1.1175000000000002,
58,CCC(=O)C(=O)O,1.2,
70,CC(C)CC(=O)C(=O)O,1.0554999999999999,
79,C1=CC(=CN=C1)C#N,1.159,25
135,C1=CC(=CC=C1C(=O)O)O,1.46,25
174,C(CO)O,1.115,20
174,C(CO)O,1.1135,20
174,C(CO)O,1.11,
174,C(CO)O,1.11,
176,CC(=O)O,1.051,20
176,CC(=O)O,1.0446,25
176,CC(=O)O,1.049,
176,CC(=O)O,1.05,
176,CC(=O)O,1.05,
177,CC=O,0.78,20
177,CC=O,0.7834,18
177,CC=O,0.8075000000000001,
177,CC=O,0.79,
177,CC=O,0.79,
178,CC(=O)N,1.159,20
178,CC(=O)N,1.159,20
178,CC(=O)N,1.16,
178,CC(=O)N,1.159,
179,CC(C(=O)C)O,0.9972,17
179,CC(C(=O)C)O,1.012,
180,CC(=O)C,0.791,20
180,CC(=O)C,0.7845,20
180,CC(=O)C,0.7915000000000001,
180,CC(=O)C,0.791,
180,CC(=O)C,0.79,
196,C(CCC(=O)O)CC(=O)O,1.36,20
196,C(CCC(=O)O)CC(=O)O,1.3600000000000001E-06,25
196,C(CCC(=O)O)CC(=O)O,1.36,
196,C(CCC(=O)O)CC(=O)O,1.36,
222,N,0.6818,-33.349999999999994
222,N,0.6818,-33.349999999999994
222,N,0.6,
227,C1=CC=C(C(=C1)C(=O)O)N,1.412,
227,C1=CC=C(C(=C1)C(=O)O)N,1.412,20
227,C1=CC=C(C(=C1)C(=O)O)N,1.4,
234,O[As](=O)(O)O,2.2,20
240,C1=CC=C(C=C1)C=O,1.046,20
240,C1=CC=C(C=C1)C=O,1.05,15
240,C1=CC=C(C=C1)C=O,1.0434999999999999,
241,C1=CC=CC=C1,0.879,20
241,C1=CC=CC=C1,0.8756,20
241,C1=CC=CC=C1,0.88,
241,C1=CC=CC=C1,0.88,
243,C1=CC=C(C=C1)C(=O)O,1.316,28.000000000000004
243,C1=CC=C(C=C1)C(=O)O,1.2659,15
243,C1=CC=C(C=C1)C(=O)O,1.3,
244,C1=CC=C(C=C1)CO,1.05,823.8888888888889
244,C1=CC=C(C=C1)CO,1.0419,24
244,C1=CC=C(C=C1)CO,1.045,
244,C1=CC=C(C=C1)CO,1.05,
260,Br,2.14,-67
260,Br,0.003307,
260,Br,2.14,-67
260,Br,2.81,
261,CCCC=O,0.803,20
261,CCCC=O,0.8,
261,CCCC=O,0.7995000000000001,
262,CC(C(C)O)O,1.045,20
263,CCCCO,0.81,20
263,CCCCO,0.8098,20
263,CCCCO,0.808,
263,CCCCO,0.81,
263,CCCCO,0.81,
