CID,Smiles,MeltingPoint,Pressure
4,CC(CN)O,1.74,
4,CC(CN)O,25,
4,CC(CN)O,1,
4,CC(CN)O,1.3888888888888888,
6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,53,
6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,54,
11,C(CCl)Cl,-35.6,
11,C(CCl)Cl,-35.3,
11,C(CCl)Cl,-35.7,
11,C(CCl)Cl,-35.55555555555556,
11,C(CCl)Cl,-35.55555555555556,
13,C1=CC(=C(C=C1Cl)Cl)Cl,16.92,
13,C1=CC(=C(C=C1Cl)Cl)Cl,17,
13,C1=CC(=C(C=C1Cl)Cl)Cl,17.22222222222222,
13,C1=CC(=C(C=C1Cl)Cl)Cl,17.22222222222222,
19,C1=CC(=C(C(=C1)O)O)C(=O)O,206,
33,C(C=O)Cl,-16.3,
33,C(C=O)Cl,-16.3,
34,C(CCl)O,-67.5,
34,C(CCl)O,-67,
34,C(CCl)O,-67.77777777777777,
34,C(CCl)O,-67.77777777777777,
45,C(C(=O)O)(C(=O)O)O,157,
49,CC(C)C(=O)C(=O)O,31.5,
51,C(CC(=O)O)C(=O)C(=O)O,115.5,
58,CCC(=O)C(=O)O,33,
66,C1=CC(=C(C=C1Cl)O)Cl,59,
66,C1=CC(=C(C=C1Cl)O)Cl,59,
66,C1=CC(=C(C=C1Cl)O)Cl,59,
70,CC(C)CC(=O)C(=O)O,9,
71,C(CC(=O)C(=O)O)CC(=O)O,127,
72,C1=CC(=C(C=C1C(=O)O)O)O,221,
79,C1=CC(=CN=C1)C#N,51,
86,C1=CC(=C(C(=C1)O)N)C(=O)O,164,
89,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,217,
93,C(CC(=O)O)C(=O)CC(=O)O,125,
96,CC(=O)CC(=O)O,36.5,
106,C(C(C(=O)O)N)OP(=O)(O)O,228,
107,C1=CC=C(C=C1)CCC(=O)O,46.5,
111,C(CNC(=O)N)C(=O)O,170,
119,C(CC(=O)O)CN,203,
125,C1=CC(=CC=C1CO)O,124.5,
126,C1=CC(=CC=C1C=O)O,117,
127,C1=CC(=CC=C1CC(=O)O)O,149,
135,C1=CC(=CC=C1C(=O)O)O,214.5,
135,C1=CC(=CC=C1C(=O)O)O,214,
137,C(CC(=O)O)C(=O)CN,157,
137,C(CC(=O)O)C(=O)CN,157,
138,C(CCN)CC(=O)O,157.5,
140,CC(CCCC(C)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C)CO,232,
174,C(CO)O,-12.69,
174,C(CO)O,7,
174,C(CO)O,-13,
174,C(CO)O,-12.777777777777779,
174,C(CO)O,-12.777777777777779,
176,CC(=O)O,16.635,
176,CC(=O)O,16.6,
176,CC(=O)O,16.7,
176,CC(=O)O,16.666666666666668,
176,CC(=O)O,16.666666666666668,
177,CC=O,-123.4,
177,CC=O,-123,
177,CC=O,-123,
177,CC=O,-123.33333333333333,
177,CC=O,-123.33333333333333,
