CID,Smiles,RefractiveIndex,Temp
4,CC(CN)O,1.4479,20
4,CC(CN)O,1.448,
6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,1.5857,60
11,C(CCl)Cl,1.4422,25
13,C1=CC(=C(C=C1Cl)Cl)Cl,1.5717,20
33,C(C=O)Cl,1.397,25
34,C(CCl)O,1.4419,20
49,CC(C)C(=O)C(=O)O,1.4409999999999998,
70,CC(C)CC(=O)C(=O)O,1.4369999999999998,
174,C(CO)O,1.4318,20
176,CC(=O)O,1.3715000000000002,
177,CC=O,1.3316,20
177,CC=O,1.37,
178,CC(=O)N,1.4274,78
179,CC(C(=O)C)O,1.4184999999999999,
180,CC(=O)C,1.3588,20
180,CC(=O)C,1.358,
222,N,1.3944,-77
240,C1=CC=C(C=C1)C=O,1.5456,20
240,C1=CC=C(C=C1)C=O,1.5455,
241,C1=CC=CC=C1,1.5011,20
243,C1=CC=C(C=C1)C(=O)O,1.504,132
244,C1=CC=C(C=C1)CO,1.5396,20
244,C1=CC=C(C=C1)CO,1.5385,
261,CCCC=O,1.3843,20
261,CCCC=O,1.3820000000000001,
262,CC(C(C)O)O,1.438,20
262,CC(C(C)O)O,1.4366,25
263,CCCCO,1.3993,20
263,CCCCO,1.3984999999999999,
264,CCCC(=O)O,1.3991,20
264,CCCC(=O)O,1.3980000000000001,
273,C(CCN)CCN,1.463,20
280,C(=O)=O,1.663,24
284,C(=O)O,1.3714,20
284,C(=O)O,1.371,
289,C1=CC=C(C(=C1)O)O,1.604,25
300,C(C(=O)O)Cl,1.4351,55
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,1.493,
313,Cl,1.254,
325,CC(C)C1=CC=C(C=C1)CO,1.5215,
326,CC(C)C1=CC=C(C=C1)C=O,1.5305,
332,COC1=C(C=CC(=C1)C=C)O,1.536,
335,CC1=CC=CC=C1O,1.553,20
335,CC1=CC=CC=C1O,1.546,
338,C1=CC=C(C(=C1)C(=O)O)O,1.565,25
342,CC1=CC(=CC=C1)O,1.5398,20
342,CC1=CC(=CC=C1)O,1.54,
356,CCCCCCCC,1.3944,25
356,CCCCCCCC,1.3974,20
379,CCCCCCCC(=O)O,1.4285,20
379,CCCCCCCC(=O)O,1.4260000000000002,
398,CC(C)[N+](=O)[O-],1.3944,20
454,CCCCCCCC=O,1.4217,20
454,CCCCCCCC=O,1.4215,
454,CCCCCCCC=O,1.421,
460,COC1=CC=CC=C1O,1.5429,20
460,COC1=CC=CC=C1O,1.5425,
527,CCC=O,1.3646,19
527,CCC=O,1.37,
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2,1.6079,99
612,CC(C(=O)O)O,1.4392,20
612,CC(C(=O)O)O,1.421,
650,CC(=O)C(=O)C,1.3951,20
650,CC(=O)C(=O)C,1.395,
660,C1CC(=O)OC2=CC=CC=C21,1.5563,20
660,C1CC(=O)OC2=CC=CC=C21,1.557,
674,CNC,1.35,17
679,CS(=O)C,1.4783,20
679,CS(=O)C,1.4169999999999998,
702,CCO,1.3611,20
702,CCO,1.364,
712,C=O,1.3746,20
713,C(=O)N,1.44911,15
743,C(CC(=O)O)CC(=O)O,1.41878,106
753,C(C(CO)O)O,1.4746,20
753,C(C(CO)O)O,1.4758,15
768,C#N,1.2614,20
784,OO,1.4061,28
785,C1=CC(=CC=C1O)O,1.632,25
795,C1=CN=CN1,1.4801,101
807,II,3.34,
878,CS,1.4329999999999998,
880,CC(=O)C=O,1.4002,17.5
880,CC(=O)C=O,1.4024999999999999,
887,CO,1.3292,20
